Date MM/DD/YYYY,Invoice Number,Company,Category,Product Details,Quantity,Amount / Unit,Tax Structure,Input Tax / Unit,Total Input Tax / Unit,Total Amount,Month of Sale,Date MM/DD/YYYY.1,Invoice Number.1,Company.1,Amount / Unit.1,Output Tax,Total Output Tax Collected,Total Amount.1,Profit / Invoice,Purchase Price,Input Tax,Total Incoming Price,Sell Price,Output Tax.1,Nett Selling Price,VAT
10-Apr-20,1006,Company A,Software,Microsoft Access 2019 Single OLP NL,1,9560,18,1720.8,1720.8,11280.8,20-May,5-May-20,HT002,Company 1,10750,1935,1935,12685,1190,9560,1720.8,11280.8,10750,1935,12685,214.2
19-Mar-20,192736,Company B,Printer,TVS LP â€“ 46 LITE Barcode Label Printer,1,10350,18,1863,1863,12213,3/20/2023,5-May-20,HT001,Company 2,12600,2268,2268,14868,2250,10350,1863,12213,12600,2268,14868,405
14-May-20,IKC/2020-21/6,Company C,Service,Laptop Service Job Code No. 795,1,1200,18,216,216,1416,20-May,28-May-20,HT005,Company 4,2500,450,450,2950,1300,1200,216,1416,2500,450,2950,234
15-May-20,20210041,Company B,Service,Paper Pickup Feeder Unit,1,1200,18,216,216,1416,20-May,30-May-20,HT006,Company 5,2500,450,450,2950,1300,1200,216,1416,2500,450,2950,234
15-May-20,,Company B,Service,Service,1,10936.1,18,0,0,0,5/20/2023,30-May-20,HT006,Company 5,2500,450,450,2950,2500,0,0,0,2500,450,2950,450
16-May-20,2020-21/JIS/0119,Company D,Laptop,Lenovo Legion Y540 Laptop 81Sy00CBIN,7,73500,18,13230,92610,607110,20-May,16-May-20,HT003,Company H,76900,13842,96894,635194,23800,514500,92610,607110,538300,96894,635194,4284
16-May-20,2020-21/JIS/0119,Company D,Carry Case,Lenovo BackPack B8270,7,2500,18,450,3150,20650,5/20/2023,16-May-20,HT003,Company H,3000,540,3780,24780,3500,17500,3150,20650,21000,3780,24780,630
16-May-20,2020-21/JIS/0121,Company D,Accessories,JBL Earphone T205,1,2100,18,378,378,2478,5/20/2023,16-May-20,HT003,Company H,12423.06454,0,0,0,-2100,2100,378,2478,0,0,0,-378
16-May-20,2020-21/JIS/0121,Company D,Accessories,Fingers BT Neckband Resonance,1,2000,18,360,360,2360,5/20/2023,16-May-20,HT003,Company H,12423.06454,0,0,0,-2000,2000,360,2360,0,0,0,-360
18-May-20,20210044,Company B,Service,HP Desktop 2676 Pickup Feeder Units,1,1200,18,216,216,1416,5/20/2023,3-Sep-20,HT031,Company 4,2500,450,450,2950,1300,1200,216,1416,2500,450,2950,234
13-May-20,ANU/20-21/020,Company E,Keyboard,Laptop Keyboard Lenovo,1,1550,18,279,279,1829,5/20/2023,27-Jun-20,HT017,Company 4,1850,333,333,2183,300,1550,279,1829,1850,333,2183,54
13-May-20,ANU/20-21/020,Company E,Panel laptop,Laptop Panel Lenovo,1,1800,18,324,324,2124,5/20/2023,27-Jun-20,HT017,Company 4,2250,405,405,2655,450,1800,324,2124,2250,405,2655,81
13-May-20,ANU/20-21/020,Company E,Accessories,Clining Kit,1,65,18,11.7,11.7,76.7,6/20/2023,3-Jun-20,HT008,Company H,100,18,18,118,35,65,11.7,76.7,100,18,118,6.3
13-May-20,ANU/20-21/020,Company E,Accessories,Spike Buster 5 Meters,1,175,18,31.5,31.5,206.5,6/20/2023,3-Jun-20,HT008,Company H,250,45,45,295,75,175,31.5,206.5,250,45,295,13.5
18-May-20,ANU/20-21/030,Company E,Battery,Laptop Battery for Dell,1,3050,18,549,549,3599,5/20/2023,28-May-20,HT005,Company 4,4500,810,810,5310,1450,3050,549,3599,4500,810,5310,261
23-May-20,2020-21/JIS/0227,Company D,Laptop,Lenovo Legion Y540 Laptop 81Sy00CBIN,5,73500,18,13230,66150,433650,5/20/2023,23-May-20,HT004,Company H,76900,13842,69210,453710,17000,367500,66150,433650,384500,69210,453710,3060
23-May-20,2020-21/JIS/0227,Company D,Carry Case,Lenovo BackPack B8270,5,2500,18,450,2250,14750,5/20/2023,23-May-20,HT004,Company H,3000,540,2700,17700,2500,12500,2250,14750,15000,2700,17700,450
30-May-20,IKC/2020-21/22,Company C,Service,Laptop Service Job Code No. 794,1,1800,18,324,324,2124,5/20/2023,28-May-20,HT005,Company 4,3500,630,630,4130,1700,1800,324,2124,3500,630,4130,306
30-May-20,IKC/2020-21/22,Company C,Storage,Hard Disk Drive 512 GB SSD,1,3800,18,684,684,4484,5/20/2023,28-May-20,HT005,Company 4,4500,810,810,5310,700,3800,684,4484,4500,810,5310,126
2-Jun-20,ANU/20-21/074,Company E,Processor,Intel Dual Core,2,650,18,117,234,1534,6/20/2023,3-Jun-20,HT007,Company 8,1500,270,540,3540,1700,1300,234,1534,3000,540,3540,306
2-Jun-20,ANU/20-21/074,Company E,Motherboard,Desktop MotherBoard Core 2 Duo,2,2050,18,369,738,4838,6/20/2023,3-Jun-20,HT007,Company 8,2500,450,900,5900,900,4100,738,4838,5000,900,5900,162
2-Jun-20,ANU/20-21/074,Company E,CPU FAN,CPU FAN,2,450,18,81,162,1062,6/20/2023,3-Jun-20,HT007,Company 8,1000,180,360,2360,1100,900,162,1062,2000,360,2360,198
2-Jun-20,ANU/20-21/074,Company E,Storage,Desktop Hard Disk Drive 500GB,2,1350,18,243,486,3186,6/20/2023,3-Jun-20,HT007,Company 8,2000,360,720,4720,1300,2700,486,3186,4000,720,4720,234
2-Jun-20,ANU/20-21/074,Company E,Memory,Desktop Memory Module 4GB DDR3,2,1400,18,252,504,3304,20-Jun,3-Jun-20,HT007,Company 8,1750,315,630,4130,700,2800,504,3304,3500,630,4130,126
2-Jun-20,ANU/20-21/074,Company E,DVD Writer,DVD Writer LG,2,850,18,153,306,2006,20-Jun,3-Jun-20,HT007,Company 8,1000,180,360,2360,300,1700,306,2006,2000,360,2360,54
2-Jun-20,ANU/20-21/074,Company E,Cabinet,ATX Cabinet ARTIS 207/208,2,1100,18,198,396,2596,6/20/2023,3-Jun-20,HT007,Company 8,1500,270,540,3540,800,2200,396,2596,3000,540,3540,144
2-Jun-20,ANU/20-21/074,Company E,Keyboard,Dell KeyBoard USB,2,500,18,90,180,1180,6/20/2023,3-Jun-20,HT007,Company 8,600,108,216,1416,200,1000,180,1180,1200,216,1416,36
2-Jun-20,ANU/20-21/074,Company E,Mouse,Dell USB Mouse,2,300,18,54,108,708,6/20/2023,3-Jun-20,HT007,Company 8,500,90,180,1180,400,600,108,708,1000,180,1180,72
2-Jun-20,ANU/20-21/074,Company E,Monitor,"HP 18.5"" LED Monitor",2,4100,18,738,1476,9676,6/20/2023,3-Jun-20,HT007,Company 8,4500,810,1620,10620,800,8200,1476,9676,9000,1620,10620,144
2-Jun-20,ANU/20-21/074,Company E,Connector,BAFO USB to HDMI Cable,2,750,18,135,270,1770,6/20/2023,3-Jun-20,HT007,Company 8,900,162,324,2124,300,1500,270,1770,1800,324,2124,54
3-Jun-20,20210096,Company B,Printer,Epson LC 310 Printer,2,7850,18,1413,2826,18526,6/20/2023,3-Jun-20,HT007,Company 8,8750,1575,3150,20650,1800,15700,2826,18526,17500,3150,20650,324
3-Jun-20,ANU/20-21/075,Company E,Desktop,Dell Optiplex 7070,1,54000,18,9720,9720,63720,6/20/2023,3-Jun-20,HT008,Company H,60000,10800,10800,70800,6000,54000,9720,63720,60000,10800,70800,1080
3-Jun-20,ANU/20-21/075,Company E,Memory,Desktop Memory Module 4GB DDR4,1,1850,18,333,333,2183,6/20/2023,3-Jun-20,HT008,Company H,2500,450,450,2950,650,1850,333,2183,2500,450,2950,117
3-Jun-20,ANU/20-21/075,Company E,Software,Microsoft Windows 10 Professional OEM,1,2500,18,450,450,2950,6/20/2023,3-Jun-20,HT008,Company H,6500,1170,1170,7670,4000,2500,450,2950,6500,1170,7670,720
3-Jun-20,ANU/20-21/075,Company E,Monitor,"Dell 22"" TFT Monitor",1,2750,18,495,495,3245,6/20/2023,3-Jun-20,HT008,Company H,6500,1170,1170,7670,3750,2750,495,3245,6500,1170,7670,675
12-Jun-20,ANU/20-21/0111,Company E,UPS,V-Guard UPS 600VA,1,2150,18,387,387,2537,6/20/2023,12-Jun-20,HT009,Company 5,2500,450,450,2950,350,2150,387,2537,2500,450,2950,63
12-Jun-20,1173,Company A,Software,Microsoft Office Orifessional Single OLN NL Academic License,75,4694,18,844.92,63369,415419,6/20/2023,18-Jun-20,HT010,Company 1,5832,1049.76,78732,516132,85350,352050,63369,415419,437400,78732,516132,15363
17-Jun-20,ANU/20-21/0126,Company E,UPS,Zebronics 1KVA UPS,1,3275,18,589.5,589.5,3864.5,6/20/2023,24-Jun-20,HT014,Company H,5500,990,990,6490,2225,3275,589.5,3864.5,5500,990,6490,400.5
17-Jun-20,ANU/20-21/0126,Company E,Mouse,Dell USB Mouse,1,250,18,45,45,295,6/20/2023,24-Jun-20,HT014,Company H,300,54,54,354,50,250,45,295,300,54,354,9
17-Jun-20,ANU/20-21/0126,Company E,Accessories,Celling Fan,1,1228.81,18,221.19,221.19,1450,6/20/2023,24-Jun-20,HT015,Company 12,1500,270,270,1770,271,1228.81,221.19,1450,1500,270,1770,48.81
18-Jun-20,2020-21/JIS/0563,Company D,Desktop,Dell Optiplex 3070,35,48000,18,8640,302400,1982400,6/20/2023,18-Jun-20,HT010,Company 1,55532,9995.76,349851.6,2293472,263620,1680000,302400,1982400,1943620,349851.6,2293472,47451.6
18-Jun-20,2020-21/JIS/0564,Company D,Desktop,Dell Optiplex 3070,40,48000,18,8640,345600,2265600,6/20/2023,18-Jun-20,HT010,Company 1,55532,9995.76,399830.4,2621110,301280,1920000,345600,2265600,2221280,399830.4,2621110,54230.4
18-Jun-20,CRN2020003,Company F,Service,Towards Installation and support - KSOU Mysore,75,13333.33,18,2400,180000,1180000,6/20/2023,18-Jun-20,HT010,Company 1,13500,2430,182250,1194750,12500,1000000,180000,1180000,1012500,182250,1194750,2250
23-Jun-20,ANU/20-21/0157,Company E,Software,Kaspersky Internet Security,1,325,18,58.5,58.5,383.5,6/20/2023,24-Jun-20,HT011,Company 5,700,126,126,826,375,325,58.5,383.5,700,126,826,67.5
23-Jun-20,ANU/20-21/0157,Company E,Storage,Seagate 2TB External Hard Disk Drive Expansion,1,4850,18,873,873,5723,6/20/2023,24-Jun-20,HT012,Company 13,5850,1053,1053,6903,1000,4850,873,5723,5850,1053,6903,180
23-Jun-20,ANU/20-21/0157,Company E,Cable,HDMI Cable 10 Meters,1,550,18,99,99,649,6/20/2023,24-Jun-20,HT013,Company 13,1550,279,279,1829,1000,550,99,649,1550,279,1829,180
26-Jun-20,ANU/20-21/0168,Company E,Printer,Epson L3150 AIO Printer,1,11200,18,2016,2016,13216,20-Jun,26-Jun-20,HT016,Company S,12288.14,2211.86,2211.86,14500,1088,11200,2016,13216,12288.14,2211.86,14500,195.86
26-Jun-20,ANU/20-21/0168,Company E,Accessories,DVI to HDMI Convertor,1,200,18,36,36,236,20-Jun,3-Jun-20,HT008,Company H,750,135,135,885,550,200,36,236,750,135,885,99
26-Jun-20,2020-21/FS/0062,Company B,Service,Printer Recondition,1,1675,18,301.5,301.5,1976.5,6/20/2023,27-Jun-20,HT018,Company 14,2600,468,468,3068,925,1675,301.5,1976.5,2600,468,3068,166.5
30-Jun-20,ANU/20-21/0177,Company E,Adapter,Wifi Adapter USB Zebronics,1,275,18,49.5,49.5,324.5,2/21/2023,2-Feb-21,HT077,Company 5,950,171,171,1121,675,275,49.5,324.5,950,171,1121,121.5
2-Jul-20,IKC/2020-21/42,Company C,Laptop,Lenovo Laptop X1 Carbon,2,32750,18,5895,11790,77290,9/20/2023,3-Sep-20,HT031,Company 4,52500,9450,18900,123900,39500,65500,11790,77290,105000,18900,123900,7110
2-Jul-20,IKC/2020-21/42,Company C,Accessories,Headphone & Camera,4,750,18,135,540,3540,8/20/2023,7-Aug-20,HT024,Company H,1500,270,1080,7080,3000,3000,540,3540,6000,1080,7080,540
2-Jul-20,IKC/2020-21/43,Company C,Service,Laptop Service Job Code 1332,1,1800,18,324,324,2124,20-Jul,11-Jul-20,HT019,Company 5,2750,495,495,3245,950,1800,324,2124,2750,495,3245,171
3-Jul-20,2020-21/FS/0071,Company B,Service,Printer Service HP Laserjet P1007,1,1200,18,216,216,1416,20-Sep,3-Sep-20,HT031,Company 4,2500,450,450,2950,1300,1200,216,1416,2500,450,2950,234
9-Jul-20,ANU/20-21/0223,Company E,Adapter,Wifi Adapter USB D-Link G USB DWA 131,1,590,18,106.2,106.2,696.2,20-Aug,7-Aug-20,HT024,Company H,1250,225,225,1475,660,590,106.2,696.2,1250,225,1475,118.8
13-Jul-20,ANU/20-21/0231,Company E,Cable,HDMI Cable 5 Meters,1,250,18,45,45,295,23-Jan,27-Jan-23,HT120,Company 17,300,54,54,354,50,250,45,295,300,54,354,9
22-Jul-20,ANU/20-21/0248,Company E,Monitor,"HP 18.5"" V194 Monitor",1,4405,18,792.9,792.9,5197.9,20-Jul,27-Jul-20,HT020,Company 18,5600,1008,1008,6608,1195,4405,792.9,5197.9,5600,1008,6608,215.1
22-Jul-20,ANU/20-21/0248,Company E,Adapter,Wifi Adapter USB Zebronics,1,360,18,64.8,64.8,424.8,23-Jan,27-Jan-23,HT119,Company 19,360.17,64.83,64.83,425,0,360,64.8,424.8,360.17,64.83,425,0.03
22-Jul-20,ANU/20-21/0248,Company E,Software,Kaspersky Internet Security,1,300,18,54,54,354,23-Jan,27-Jan-23,HT119,Company 19,300,54,54,354,0,300,54,354,300,54,354,0
24-Jul-20,20210251,Company B,Accessories,Fingertip Pulse Oximeter MD-A,1,1350,12,162,162,1512,23-Jan,27-Jan-23,HT119,Company 19,1350,162,162,1512,0,1350,162,1512,1350,162,1512,0
27-Jul-20,IKC/2020-21/54,Company C,Desktop,Acer eMachine EL1210 Athlon X2 4050e / 4GB/ 500GB,1,4000,18,720,720,4720,20-Jul,27-Jul-20,HT020,Company 18,6000,1080,1080,7080,2000,4000,720,4720,6000,1080,7080,360
29-Jul-20,2020-21/FS/0110,Company B,Service,Fuser Assembly HP P1006 Laserjet Printer,1,1150,18,207,207,1357,20-Jul,30-Jul-20,HT021,Company 5,2500,450,450,2950,1350,1150,207,1357,2500,450,2950,243
3-Aug-20,20210302,Company B,Printer,Epson LC 310 Printer,1,8100,18,1458,1458,9558,20-Aug,3-Aug-20,HT022,Company 8,8950,1611,1611,10561,850,8100,1458,9558,8950,1611,10561,153
4-Aug-20,ANU/20-21/0296,Company E,UPS,Luminius LB 600 Pro UPS,1,1875,18,337.5,337.5,2212.5,20-Aug,4-Aug-20,,Company 21,2000,360,360,2360,125,1875,337.5,2212.5,2000,360,2360,22.5
4-Aug-20,ANU/20-21/0296,Company E,Cable,Patch Cable 10 Meter,1,375,18,67.5,67.5,442.5,20-Aug,4-Aug-20,HT023,Company 20,500,90,90,590,125,375,67.5,442.5,500,90,590,22.5
4-Aug-20,ANU/20-21/0296,Company E,Cartridge,HP Cartridge 678,2,590,18,106.2,212.4,1392.4,20-Aug,4-Aug-20,,Company 21,695,125.1,250.2,1640.2,210,1180,212.4,1392.4,1390,250.2,1640.2,37.8
7-Aug-20,2020-21/JIS/1088,Company D,Laptop,Lenovo Legion 5-15MH05 82AU004QIN,3,75950,18,13671,41013,268863,20-Aug,7-Aug-20,HT024,Company H,80500,14490,43470,284970,13650,227850,41013,268863,241500,43470,284970,2457
7-Aug-20,2020-21/JIS/1088,Company D,Carry Case,Lenovo BackPack B8270,3,2550,18,459,1377,9027,20-Aug,7-Aug-20,HT024,Company H,3000,540,1620,10620,1350,7650,1377,9027,9000,1620,10620,243
10-Aug-20,BAN/2021/013,Company I,Headphone,Plantronics Voyager 4220,1,13200,18,2376,2376,15576,20-Aug,10-Aug-20,HT025,Company 22,13559.32,2440.68,2440.68,16000,359,13200,2376,15576,13559.32,2440.68,16000,64.68
14-Aug-20,ANU/20-21/0333,Company E,Toner,Toner Service,1,325,18,58.5,58.5,383.5,20-Aug,31-Aug-20,HT028,Company 23,1250,225,225,1475,925,325,58.5,383.5,1250,225,1475,166.5
25-Aug-20,IKC/2020-21/70,Company C,Laptop,Laptop Toshiba Z40,3,23000,18,4140,12420,81420,20-Sep,3-Sep-20,HT031,Company 4,42000,7560,22680,148680,57000,69000,12420,81420,126000,22680,148680,10260
25-Aug-20,1444,Company A,Software,Microsoft Office Home & Student 2019 English POSA,1,5100,18,918,918,6018,20-Aug,25-Aug-20,HT026,Company M,5500,990,990,6490,400,5100,918,6018,5500,990,6490,72
26-Aug-20,ANU/20-21/0379,Company E,Adapter,Adapter,1,135,18,24.3,24.3,159.3,20-Aug,28-Aug-20,HT027,Company H,168.65,30.36,30.36,199,34,135,24.3,159.3,168.65,30.36,199,6.06
26-Aug-20,ANU/20-21/0379,Company E,Adapter,Laptop Adapter USB,1,575,18,103.5,103.5,678.5,20-Aug,28-Aug-20,HT027,Company H,900,162,162,1062,325,575,103.5,678.5,900,162,1062,58.5
26-Aug-20,ANU/20-21/0379,Company E,Panel laptop,Laptop Panel Lenovo,1,1150,18,207,207,1357,20-Aug,28-Aug-20,HT027,Company H,1400,252,252,1652,250,1150,207,1357,1400,252,1652,45
26-Aug-20,ANU/20-21/0379,Company E,Keyboard,Laptop Keyboard Lenovo,1,775,18,139.5,139.5,914.5,20-Aug,28-Aug-20,HT027,Company H,1250,225,225,1475,475,775,139.5,914.5,1250,225,1475,85.5
28-Aug-20,ANU/20-21/0388,Company E,Laptop,Microsoft Surface Pro,1,83000,18,14940,14940,97940,20-Aug,28-Aug-20,HT027,Company H,84628.81,15233.19,15233.19,99862,1629,83000,14940,97940,84628.81,15233.19,99862,293.19
28-Aug-20,ANU/20-21/0388,Company E,Mobile,One Plus 8 8GB/128GB,1,38135.59,18,6864.41,6864.41,45000,20-Aug,28-Aug-20,HT027,Company H,38347.46,6902.54,6902.54,45250,212,38135.59,6864.41,45000,38347.46,6902.54,45250,38.14
29-Aug-20,ANU/20-21/0401,Company E,Keyboard,Lenovo Laptop Keyboard,1,1950,18,351,351,2301,20-Sep,3-Sep-20,HT031,Company 4,4500,810,810,5310,2550,1950,351,2301,4500,810,5310,459
29-Aug-20,ANU/20-21/0401,Company E,Keyboard,Dell Laptop KeyBoard,1,1050,18,189,189,1239,20-Sep,3-Sep-20,HT031,Company 4,4000,720,720,4720,2950,1050,189,1239,4000,720,4720,531
29-Aug-20,ANU/20-21/0401,Company E,Panel laptop,Compaq Panel,1,1700,18,306,306,2006,20-Aug,31-Aug-20,HT028,Company 23,3800,684,684,4484,2100,1700,306,2006,3800,684,4484,378
29-Aug-20,ANU/20-21/0401,Company E,Battery,Dell Laptop Original Battery 3460,1,2950,18,531,531,3481,20-Aug,31-Aug-20,HT029,Company 26,3650,657,657,4307,700,2950,531,3481,3650,657,4307,126
1-Sep-20,ANU/20-21/0406,Company E,Desktop,Dell Optiplex Desktop 7070,4,48750,18,8775,35100,230100,20-Sep,3-Sep-20,HT032,Company H,52750,9495,37980,248980,16000,195000,35100,230100,211000,37980,248980,2880
1-Sep-20,ANU/20-21/0406,Company E,Memory,Desktop Memory Module 16GB DDR4,4,4650,18,837,3348,21948,20-Sep,3-Sep-20,HT032,Company H,5950,1071,4284,28084,5200,18600,3348,21948,23800,4284,28084,936
1-Sep-20,ANU/20-21/0406,Company E,Software,Microsoft Windows Professional 10 OEM 64 BIT,4,3250,18,585,2340,15340,20-Sep,3-Sep-20,HT032,Company H,4500,810,3240,21240,5000,13000,2340,15340,18000,3240,21240,900
1-Sep-20,ANU/20-21/0406,Company E,Graphic Card,Graphic Card NVIDIA 2GB,4,3500,18,630,2520,16520,20-Sep,3-Sep-20,HT032,Company H,4700,846,3384,22184,4800,14000,2520,16520,18800,3384,22184,864
1-Sep-20,ANU/20-21/0406,Company E,Monitor,"Samsung 24""",4,7850,18,1413,5652,37052,20-Sep,3-Sep-20,HT032,Company H,9850,1773,7092,46492,8000,31400,5652,37052,39400,7092,46492,1440
